Seychelles (details),"80,000",94.7%,82%,15.2%
Sierra Leone (details),"619,000-1,294,000",10%[130]-20.9%[131],,
Singapore (details),"900,000",18.0%[132],5.7%,12%
Slovakia (details),"4,730,000",80.0%[42],67.0%[42],13.0%[42]
Slovenia (details),"1,610,000",68.0%[42],64.0%[42],4.0%[42]
Somalia (details),"1,000[133]",0.01%,0.0002%,0.01%
South Africa (details),"43,090,000",79.8%[134],5%,75%
South Sudan (details),"6,010,000[135]",60.5%[136],30%,30%
Spain (details),"28,000,000",59.2%[137],58.2%[137],1%[137]
Sri Lanka (details),"1,531,000",7.5%,6.1%,1.4%
Sudan (details),"525,000",1.5%[138],,
Suriname (details),"262,000",48.4% - 51.6%[139][140],21.6%,26.8%
Sweden (details),"6,577,478",64.3%[141],1.2%,63.1%
Switzerland (details),"5,700,000",66.9%[142]-69.1%[143],36.5%[142]-37.9%[143],30.4%[142]-31.2%[143]
Syria (details),"1,800,000[144]",10.0%[24],2%,8%
Tajikistan (details),"110,000[24]",1.4%,0.1%,1.3%
Tanzania (details),"31,342,000",61.4%[145],,
Thailand (details),"778,000",1.2%,0.6%,0.6%
Togo (details),"1,966,000",29.0%,,
Tonga (details),"84,000",81.0%,16%,65%
Trinidad and Tobago (details),"774,000",57.6%[146],21.5%,33.4%
Tunisia (details),"50,000[147]",0.1%,,0.06%
Turkey (details),"120,000[148]-310,000[149]",0.2%,,
Turkmenistan (details),"466,000",9.0%[150],,9%
Uganda (details),"29,943,000",88.6%,41.9%,46.7%
Ukraine (details),"34,830,000[151]",81.9%[151],7.5%,74.4%
United Arab Emirates (details),"940,000",9.0%[152],7%,2%
United Kingdom (details),"33,200,000",59.3%[153],8.9%,50%
United States (details),"213,000,000[154]",65% (2019)[154]-73%[155],20%[154]-22.7%[155],45%[154]-48.5%[155]
Uruguay (details),"1,941,000",58.1%[49],47%,11%
Uzbekistan (details),"710,000[24]",2.6%[24],,2.6%[24]
Venezuela (details),"28,340,000",88.0%[156],71%,17%
Vietnam (details),"7,038,000",8.2%[157],7%,1%
Yemen (details),"25,000[158]-41,000[159]",0.01%,0.01%,
Zambia (details),"12,939,000",95.5%[160],20.2%,72.3%
Zimbabwe (details),"12,500,000",87.0%[161],17%,63%
Europe,"565,560,000[4]",76.2%[4],35.0%[162],41.2%[4],-
Latin America and the Caribbean,"531,280,000[4]",90.0%[4],70%[163],20%[164],-
Africa,"526,016,926[4]",62.7%[4],21.0%[162],41.7%[4],-
Asia,"285,120,000[4]-375,905,000[165]",7.0%[4]-12.0%[165],3.0%[162]-5.1%[165],4.0%[4]-6.8%[165],-
North America,"266,630,000[4]",77.4%[4],22.0%[162],55.4%,-
Oceania,"25,754,000[166]",73.3%[166],38.9%[166],34.4%[166],-
Middle East-North Africa,"12,000,000–16,000,000[167]",3.8%[4]-5.0%[168],2.0%[162]-2.6%,1.8%[4]-2.3%,-
Total,"2,431,209,718[165]",33.4%[165],16.9%[165],16.5%[165],-
