Country/Territory,Subregion,Region,IMF[3],IMF[3],United Nations[4],United Nations[4],World Bank[5],World Bank[5]
Tonga *,Polynesia,Oceania,"5,081",2021,"4,865",2019,"4,903",2019
Fiji *,Melanesia,Oceania,"5,069",2021,"6,185",2019,"4,882",2020
Azerbaijan *,Western Asia,Asia,"4,883",2021,"4,782",2019,"4,214",2020
Kosovo *,Southern Europe,Europe,"4,856",2021,"4,473",2019,"4,287",2020
Moldova *,Eastern Europe,Europe,"4,638",2021,"2,957",2019,"4,551",2020
Iraq *,Western Asia,Asia,"4,632",2021,"5,730",2019,"4,158",2020
Guatemala *,Central America,Americas,"4,439",2021,"4,363",2019,"4,603",2020
Namibia *,Southern Africa,Africa,"4,371",2021,"4,957",2019,"4,211",2020
Georgia *,Western Asia,Asia,"4,361",2021,"4,439",2019,"4,279",2020
Jordan *,Western Asia,Asia,"4,358",2021,"4,405",2019,"4,283",2020
Indonesia *,South-eastern Asia,Asia,"4,256",2021,"4,136",2019,"3,870",2020
Marshall Islands *,Micronesia,Oceania,"4,206",2021,"4,038",2019,"4,073",2019
Mongolia *,Eastern Asia,Asia,"4,172",2021,"4,295",2019,"4,007",2020
Armenia *,Western Asia,Asia,"4,125",2021,"4,623",2019,"4,268",2020
El Salvador *,Central America,Americas,"4,031",2021,"4,187",2019,"3,799",2020
Suriname *,South America,Americas,"4,030",2021,"6,360",2019,"6,491",2020
Ukraine *,Eastern Europe,Europe,"3,984",2021,"3,496",2019,"3,727",2020
Belize *,Central America,Americas,"3,970",2021,"4,884",2019,"4,436",2020
Egypt *,Northern Africa,Africa,"3,832",2021,"3,161",2019,"3,548",2020
Sri Lanka *,Southern Asia,Asia,"3,830",2021,"3,940",2019,"3,682",2020
Micronesia *,Micronesia,Oceania,"3,821",2021,"3,640",2019,"3,585",2019
Vietnam *,South-eastern Asia,Asia,"3,759",2021,"2,715",2019,"2,786",2020
Eswatini *,Southern Africa,Africa,"3,710",2021,"4,002",2019,"3,416",2020
Tunisia *,Northern Africa,Africa,"3,683",2021,"3,318",2019,"3,320",2020
Samoa *,Polynesia,Oceania,"3,672",2021,"4,285",2019,"4,068",2020
Philippines *,South-eastern Asia,Asia,"3,646",2021,"3,324",2019,"3,299",2020
Bolivia *,South America,Americas,"3,624",2021,"3,552",2019,"3,143",2020
Libya *,Northern Africa,Africa,"3,617",2021,"4,810",2019,"3,699",2020
Cape Verde *,Western Africa,Africa,"3,555",2021,"3,604",2019,"3,064",2020
Morocco *,Northern Africa,Africa,"3,415",2021,"3,282",2019,"3,009",2020
Algeria *,Northern Africa,Africa,"3,364",2021,"3,976",2019,"3,310",2020
Bhutan *,Southern Asia,Asia,"3,296",2021,"3,361",2019,"3,122",2020
Djibouti *,Eastern Africa,Africa,"3,214",2021,"3,252",2019,"3,426",2020
Palestine *,Western Asia,Asia,"3,156",2021,"3,424",2019,"3,240",2020
Vanuatu *,Melanesia,Oceania,"2,957",2021,"3,023",2019,"2,783",2020
Syria *,Western Asia,Asia,"2,807",2021,"1,194",2019,"2,033",2007
Lebanon *,Western Asia,Asia,"2,802",2021,"7,784",2019,"4,891",2020
Laos *,South-eastern Asia,Asia,"2,773",2021,"2,625",2019,"2,630",2020
Papua New Guinea *,Melanesia,Oceania,"2,737",2021,"2,845",2019,"2,637",2020
Honduras *,Central America,Americas,"2,586",2021,"2,575",2019,"2,406",2020
Ivory Coast *,Western Africa,Africa,"2,567",2021,"2,276",2019,"2,326",2020
Congo *,Middle Africa,Africa,"2,505",2021,"2,304",2019,"1,973",2020
Solomon Islands *,Melanesia,Oceania,"2,455",2021,"1,945",2019,"2,258",2020
Nigeria *,Western Africa,Africa,"2,432",2021,"2,361",2019,"2,097",2020
Ghana *,Western Africa,Africa,"2,374",2021,"2,203",2019,"2,329",2020
India *,Southern Asia,Asia,"2,191[8]",2021,"2,116",2019,"1,901",2020
Mauritania *,Western Africa,Africa,"2,179",2021,"1,678",2019,"1,673",2020
São Tomé and Príncipe *,Middle Africa,Africa,"2,174",2021,"1,961",2019,"2,158",2020
Bangladesh *,Southern Asia,Asia,"2,138[9]",2021,"1,846",2019,"1,969",2020
Kenya *,Eastern Africa,Africa,"2,129",2021,"1,817",2019,"1,838",2020
Angola *,Middle Africa,Africa,"2,080",2021,"2,671",2019,"1,896",2020
Haiti *,Caribbean,Americas,"1,943",2021,715,2019,"1,177",2020
Kiribati *,Micronesia,Oceania,"1,917",2021,"1,657",2019,"1,671",2020
Nicaragua *,Central America,Americas,"1,877",2021,"1,913",2019,"1,905",2020
Uzbekistan *,Central Asia,Asia,"1,775",2021,"1,756",2019,"1,686",2020
Cambodia *,South-eastern Asia,Asia,"1,720",2021,"1,644",2019,"1,513",2020
Zimbabwe *,Eastern Africa,Africa,"1,684",2021,"1,464",2019,"1,128",2020
Cameroon *,Middle Africa,Africa,"1,649",2021,"1,534",2019,"1,499",2020
Senegal *,Western Africa,Africa,"1,622",2021,"1,452",2019,"1,488",2020
Venezuela *,South America,Americas,"1,542",2021,"4,733",2019,"16,056",2014
Myanmar *,South-eastern Asia,Asia,"1,423",2021,"1,421",2019,"1,400",2020
Comoros *,Eastern Africa,Africa,"1,420",2021,"1,370",2019,"1,403",2020
Benin *,Western Africa,Africa,"1,388",2021,"1,220",2019,"1,291",2020
East Timor *,South-eastern Asia,Asia,"1,285",2021,"1,561",2019,"1,381",2020
Pakistan *,Southern Asia,Asia,"1,260",2021,"1,187",2019,"1,194",2020
Nepal *,Southern Asia,Asia,"1,236",2021,"1,074",2019,"1,155",2020
Lesotho *,Southern Africa,Africa,"1,178",2021,"1,158",2019,861,2020
Guinea *,Western Africa,Africa,"1,141",2021,967,2019,"1,194",2020
Kyrgyzstan *,Central Asia,Asia,"1,123",2021,"1,318",2019,"1,174",2020
Tanzania *,Eastern Africa,Africa,"1,104",2021,"1,084",2019,"1,077",2020
Togo *,Western Africa,Africa,"1,016",2021,899,2019,915,2020
Mali *,Western Africa,Africa,983,2021,887,2019,859,2020
Zambia *,Eastern Africa,Africa,974,2021,"1,292",2019,"1,051",2020
Uganda *,Eastern Africa,Africa,972,2021,737,2019,817,2020
Ethiopia *,Eastern Africa,Africa,952,2021,828,2019,936,2020
Guinea-Bissau *,Western Africa,Africa,888,2021,688,2019,728,2020
Burkina Faso *,Western Africa,Africa,876,2021,787,2019,831,2020
Gambia *,Western Africa,Africa,834,2021,776,2019,787,2020
Rwanda *,Eastern Africa,Africa,821,2021,820,2019,798,2020
Tajikistan *,Central Asia,Asia,810,2021,894,2019,859,2020
Sudan *,Northern Africa,Africa,787,2021,815,2019,596,2020
Yemen *,Western Asia,Asia,754,2021,855,2019,824,2018
Chad *,Middle Africa,Africa,741,2021,707,2019,615,2020
Liberia *,Western Africa,Africa,700,2021,523,2019,583,2020
North Korea *,Eastern Asia,Asia,N/A,N/A,640,2019,N/A,N/A
Niger *,Western Africa,Africa,633,2021,555,2019,"2,097",2020
Eritrea *,Eastern Africa,Africa,625,2021,567,2019,643,2011
Afghanistan *,Southern Asia,Asia,592,2021,470,2019,509,2020
DR Congo *,Middle Africa,Africa,588,2021,545,2019,557,2020
Central African Republic *,Middle Africa,Africa,552,2021,468,2019,477,2020
Sierra Leone *,Western Africa,Africa,542,2021,528,2019,485,2020
Madagascar *,Eastern Africa,Africa,521,2021,523,2019,496,2020
Malawi *,Eastern Africa,Africa,432,2021,435,2019,625,2020
Mozambique *,Eastern Africa,Africa,425,2021,504,2019,449,2020
Somalia *,Eastern Africa,Africa,347,2021,105,2019,309,2020
South Sudan *,Eastern Africa,Africa,315,2021,448,2019,"1,120",2015
Burundi *,Eastern Africa,Africa,265,2021,260,2019,274,2020
