Country,Subregion,Region,UN R/P,UN R/P,WB Gini[4],WB Gini[4],CIA R/P[5],CIA R/P[5],CIA Gini[6],CIA Gini[6]
Moldova,Eastern Europe,Europe,8.2,3.6,25.7,2018,8.3,2003,33.0,2010
Mongolia,Eastern Asia,Asia,8.2,5.1,32.7,2018,8.2,2002,36.5,2008
Montenegro,Southern Europe,Europe,,4.8,39.0,2015,,,26.2,2013 est.
Morocco,Northern Africa,Africa,11.7,7.0,39.5,2013,11.9,1999,40.9,2007 est.
Mozambique,Eastern Africa,Africa,18.8,14.2,54.0,2014,18.8,2002,45.6,2008
Myanmar,South-eastern Asia,Asia,,6.3,30.7,2017,11.6,1998,,
Namibia,Southern Africa,Africa,106.6,22.8,59.1,2015,129.0,2003,59.7,2010
Nepal,Southern Asia,Asia,15.8,5.0,32.8,2010,15.6,2004,32.8,2010
Netherlands,Western Europe,Europe,9.2,4.2,28.5,2017,9.2,1999,25.1,2013
New Zealand,"Australia, New Zealand",Oceania,12.4,,,,,,36.2,1997
Nicaragua,Central America,Americas,31.0,10.2,46.2,2014,15.4,2001,40.5,2010
Niger,Western Africa,Africa,46.0,5.4,34.3,2014,44.3,1995,34.0,2007
Nigeria,Western Africa,Africa,17.8,9.1,35.1,2020,17.5,2003,43.7,2003
Norway,Northern Europe,Europe,6.1,4.1,27.0,2017,6.0,2000,26.8,2010
Oman,Western Asia,Asia,,,,,,,,
Pakistan,Southern Asia,Asia,6.5,4.8,33.5,2015,6.6,2002,29.6,2011 FY
Panama,Central America,Americas,49.9,15.9,49.2,2018,61.4,2003,51.9,2010 est.
Papua New Guinea,Melanesia,Oceania,23.8,9.3,41.9,2009,23.8,1996,50.9,1996
Paraguay,South America,Americas,38.8,11.7,46.2,2018,65.9,2003,53.2,2009
Peru,South America,Americas,26.1,10.3,42.8,2018,31.5,2003,45.3,2012
Philippines,South-eastern Asia,Asia,15.5,7.2,44.4,2015,15.5,2003,46.0,2012
Poland,Eastern Europe,Europe,8.8,4.6,29.7,2017,8.7,2002,34.1,2009
Portugal,Southern Europe,Europe,15.0,6.4,33.8,2017,9.2,1995 est.,34.2,2013 est.
Qatar,Western Asia,Asia,,,,,,,,
Romania,Eastern Europe,Europe,7.5,8.0,36.0,2017,7.4,2003,27.3,2012
Russia,Eastern Europe,Europe,12.7,6.6,37.5,2018,12.8,2002,42,2012
Rwanda,Eastern Africa,Africa,18.6,8.5,43.7,2016,18.2,2000,46.8,2000
São Tomé and Príncipe,Middle Africa,Africa,,4.7,56.3,2017,,,,
Saudi Arabia,Western Asia,Asia,,,,,,,,
Senegal,Western Africa,Africa,12.3,7.7,40.3,2011,12.4,2001,40.3,2011
Serbia,Southern Europe,Europe,,4.2,36.2,2017,,,38.7,2014 est.
Seychelles,Eastern Africa,Africa,,9.8,46.8,2013,,,,
Sierra Leone,Western Africa,Africa,87.2,5.4,35.7,2018,87.2,1989,34.0,2011
Singapore,South-eastern Asia,Asia,17.7,,,,17.3,1998,46.4,2014
Slovakia,Eastern Europe,Europe,6.7,4.1,25.2,2016,6.7,1996,25.3,2012
Slovenia,Southern Europe,Europe,5.9,3.7,24.2,2017,5.9,1998,23.7,2012
Somalia,Eastern Africa,Africa,,,,,,,,
South Africa,Southern Africa,Africa,33.1,28.4,63.0,2014,31.9,2000,62.5,2013 est.
South Sudan,Eastern Africa,Africa,,13.0,46.3,2009,,,46.0,2010 est.
Spain,Southern Europe,Europe,10.3,7.3,34.7,2017,10.2,2000,34.0,2011
Sri Lanka,Southern Asia,Asia,11.1,6.8,39.8,2016,36.1,2003/04 FY,49.0,2010
Saint Lucia,Caribbean,Americas,,6.8,51.2,2016,,,,
Sudan,Northern Africa,Africa,,6.2,35.4,2009,,,,
Suriname,South America,Americas,,,57.6,1999,,,,
Sweden,Northern Europe,Europe,6.2,4.6,28.8,2017,6.2,2000,24.9,2013
Switzerland,Western Europe,Europe,9.0,5.2,32.7,2017,8.9,2000,28.7,2012 est.
Syria,Western Asia,Asia,,,35.8,2004,,,,
Taiwan,Eastern Asia,Asia,,,,,6.1,2002 est.,33.8,2012
Tajikistan,Central Asia,Asia,7.8,5.6,34.0,2015,7.8,2003,32.6,2006
Tanzania,Eastern Africa,Africa,9.2,6.2,40.5,2017,9.3,2000,37.6,2007
Thailand,South-eastern Asia,Asia,12.6,6.0,36.4,2018,12.4,2002,39.4,2010
East Timor,South-eastern Asia,Asia,,4.1,28.7,2014,,,31.9,2007 est.
Togo,Western Africa,Africa,,9.7,43.1,2015,,,,
Trinidad and Tobago,Caribbean,Americas,12.9,,40.3,1992,,,,
Tunisia,Northern Africa,Africa,13.4,5.2,32.8,2015,13.7,2000,40.0,2005 est.
Turkey,Western Asia,Asia,6.6,8.5,41.9,2018,17.1,2003,40.2,2010
Turkmenistan,Central Asia,Asia,12.3,,40.8,1999,12.2,1998,40.8,1998
Uganda,Eastern Africa,Africa,16.6,8.2,42.8,2016,16.4,2002,39.5,2013
Ukraine,Eastern Europe,Europe,5.9,3.5,26.1,2018,7.6,2006,28.2,2009
United Arab Emirates,Western Asia,Asia,,,32.5,2014,,,,
United Kingdom,Northern Europe,Europe,13.8,5.4,34.8,2016,13.6,1999,32.4,2012
United States,Northern America,Americas,18.5,9.4,41.4,2016,14.0,2014 est.,47.0,2014
Uruguay,South America,Americas,11.8,7.8,39.7,2018,17.9,2003,45.3,2010
Uzbekistan,Central Asia,Asia,10.6,,35.3,2003,10.6,2003,36.8,2003
Venezuela,South America,Americas,18.8,15.8,46.9,2006,50.3,2003,39.0,2011
Vietnam,South-eastern Asia,Asia,6.9,6.2,35.7,2018,10.0,2004,37.6,2008
Palestine,Western Asia,Asia,,5.6,33.7,2016,,,,
Yemen,Western Asia,Asia,8.6,6.1,36.7,2014,8.6,2003,37.7,2005
Zambia,Eastern Africa,Africa,,21.1,57.1,2015,,,57.5,2010
Zimbabwe,Eastern Africa,Africa,,8.6,44.3,2017,,,50.1,2006
World,,,,,12.0,2002 est.,38.0,2007
