Country,Men,Women,Average,Age Gap,Age Ratio,Year,Source
Iran,27.4,23.8,25.6,3.6,1.15,2015,[18]
Iraq,28.2,25.3,26.8,2.9,1.11,2004,[4]
Israel,27.6,25,26.3,2.6,1.1,2016,[19]
Japan,30.9,29.3,30.1,1.6,1.05,2013,[20]
Jordan,28.7,23.8,26.3,4.9,1.21,2010,[21]
Kazakhstan,26.9,24.3,25.6,2.6,1.11,2010,[3]
Kuwait,28.9,27.5,28.2,1.4,1.05,2005,[4]
Kyrgyzstan,25.5,21.8,23.7,3.7,1.17,2012,[4]
Laos,23.3,20.5,21.9,2.8,1.14,2012,[4]
Lebanon,32.8,28.8,30.8,4,1.14,2006,[22]
Malaysia,28,25.7,26.9,2.3,1.09,2010,[23]
Maldives,24.1,21.6,22.9,2.5,1.12,2009,[3]
Mongolia,29,26,27.5,3,1.12,2019,[24]
Myanmar,24.0,20.5,22.3,3.5,1.17,2007,[3]
Nepal,22.1,17.9,20,4.2,1.23,2011,[3]
North Korea,29.0,25.5,27.3,3.5,1.14,2008,[4]
Oman,28.1,24.8,26.5,3.3,1.13,2003,[4]
Pakistan,26,18.3,22.2,7.7,1.42,2016-2017,[3]
Palestine,25.4,20.1,22.8,5.3,1.26,2010,[3]
Philippines,28.0,25.3,26.7,2.7,1.11,2011,[25]
Qatar,27.3,25.4,26.4,1.9,1.07,2010,[4]
Saudi Arabia,25.3,20.4,22.9,4.9,1.24,2018,[26]
Singapore,30.1,27.9,29,2.2,1.08,2014,[27]
Sri Lanka,27.6,23.8,25.7,3.8,1.16,2001,[4]
South Korea,33.2,30.4,31.8,2.8,1.09,2018,[28]
Syria,31.8,26.3,29.1,5.5,1.21,2016,[29]
Taiwan,32.6,30.4,31.5,2.2,1.07,2019,[30]
Tajikistan,26.3,22.5,24.4,3.8,1.17,2010,[3]
Thailand,24.4,21.0,22.7,3.4,1.16,2010,[3]
East Timor,25.0,20.6,22.8,4.4,1.21,2009-2010,[3]
Turkmenistan,24.6,23.3,24,1.3,1.06,2006,[3]
United Arab Emirates,26.8,25.3,26.1,1.5,1.06,2005,[4]
Uzbekistan,25.2,22.4,23.8,2.8,1.13,2006,[31]
Vietnam,26.2,22.8,24.5,3.4,1.15,2009,[32]
Yemen,26.1,23.0,24.6,3.1,1.13,2013,[4]
Albania,29.5,24,26.8,5.5,1.23,2014,[31]
Austria,32.6,30.3,31.5,2.3,1.08,2015,[31]
Azerbaijan,27.6,23.7,25.7,3.9,1.16,2014,[31]
Armenia,29.4,26.3,27.9,3.1,1.12,2014,[31]
Belarus,27.4,25.3,26.4,2.1,1.08,2014,[31]
Belgium,32.3,30,31.2,2.3,1.08,2015,[31]
Bosnia and Herzegovina,29.7,27.1,28.4,2.6,1.1,2018,[33]
Bulgaria,30.3,26.9,28.6,3.4,1.13,2014,[34]
Croatia,30.6,28.1,29.4,2.5,1.09,2014,[34]
Czech Republic,32.4,29.8,31.1,2.6,1.09,2015,[31]
Cyprus,30.8,29.0,29.9,1.8,1.06,2014,[31]
Denmark,34.5,32,33.3,2.5,1.08,2015,[31]
Estonia,31.6,29.0,30.3,2.6,1.09,2014,[34]
Finland,33.4,31.2,32.3,2.2,1.07,2015,[31]
France,33.0,30.8,31.9,2.2,1.07,2011,[35]
Georgia,29.9,26.6,28.3,3.3,1.12,2014,[31]
Germany,33.4,30.9,32.2,2.5,1.08,2014,[34]
Greece,33.0,29.9,31.5,3.1,1.1,2014,[34]
Hungary,32.1,29.3,30.7,2.8,1.1,2014,[34]
Iceland,34.6,32.7,33.7,1.9,1.06,2011,[31]
Ireland,36.8,34.8,35.8,2,1.06,2019,[36]
Italy,34.2,31.3,32.8,2.9,1.09,2014,[34]
Latvia,30.6,28.2,29.4,2.4,1.09,2014,[34]
Lithuania,29.7,27.3,28.5,2.4,1.09,2014,[34]
Liechtenstein,32.6,29.8,31.2,2.8,1.09,2011,[4]
Luxembourg,33.3,31.1,32.2,2.2,1.07,2015,[31]
North Macedonia,28.8,26,27.4,2.8,1.11,2014,[31]
Malta,31.6,29.2,30.4,2.4,1.08,2011,[34]
Moldova,28.3,25.8,27.1,2.5,1.1,2018,[37]
Monaco,33.4,30.4,31.9,3,1.1,2008,[4]
Montenegro,32.7,28.6,30.7,4.1,1.14,2014,[34]
Netherlands,33.5,30.9,32.2,2.6,1.08,2015,[31]
Norway,33.8,31.9,32.9,1.9,1.06,2015,[31]
Poland,30,27,28.5,3,1.11,2014,[34]
Portugal,32.5,31,31.8,1.5,1.05,2015,[31]
Romania,30.2,26.7,28.5,3.5,1.13,2014,[34]
Russia,27.4,24.9,26.2,2.5,1.1,2011,[38]
San Marino,33.5,30.7,32.1,2.8,1.09,2014,[4]
Serbia,31.0,28.1,29.6,2.9,1.1,2014,[34]
Slovakia,30.8,28.1,29.5,2.7,1.1,2014,[34]
Slovenia,32.2,29,30.6,3.2,1.11,2014,[34]
Spain,34.5,32.3,33.4,2.2,1.07,2014,[34]
Sweden,36,33.5,34.8,2.5,1.07,2015,[31]
Switzerland,32.5,30.1,31.3,2.4,1.08,2014,[34]
Turkey,27.8,24.8,26.3,3,1.12,2018,[34]
Ukraine,27.0,25.0,26,2,1.08,2013,[31]
United Kingdom,33.4,31.5,32.5,1.9,1.06,2016,[39]
Australia,32.3,30.5,31.4,1.8,1.06,2019,[40]
Fiji,27.7,27.7,27.7,0,1,2007,[4]
Kiribati,23.6,20.1,21.9,3.5,1.17,2009,[41]
Marshall Islands,25.7,24.2,25,1.5,1.06,2011,[42]
Micronesia,27.5,25.5,26.5,2,1.08,2010,[43]
Nauru,22.8,21.2,22.0,1.6,1.08,2007,[44]
New Zealand,30.6,29.4,30.0,1.2,1.04,2019,[45]
Palau,28.9,26.6,27.8,2.3,1.09,2005,[4]
Papua New Guinea,25.0,21.4,23.2,3.6,1.17,2006,[4]
Samoa,28.7,24.1,26.4,4.6,1.19,2009,[4]
Solomon Islands,25.6,20.3,23.0,5.3,1.26,2007,[46]
Tonga,25.0,23.6,24.3,1.4,1.06,2012,[47]
Tuvalu,27.2,22.1,24.7,5.1,1.23,2007,[48]
Vanuatu,24.4,20.8,22.6,3.6,1.17,2013,[49]
