Country,Age (reduced)[a],Age (full)[b],Ref,Notes
Paraguay,14,,[74],Minor offenders can be sentenced to a maximum of 8 years of imprisonment.
Peru,14,18,[36],"Notes 18 is the standard age of criminal liability in Peru. However, minors from 16–17 years old at the moment of the crime may be subject to 6 to 10 years in prison in case of homicide, feminicide, extortion, vandalism, rape or being member of a criminal gang. Minors from 14–15 years at the moment of a crime may be subject to 4 to 8 years in prison."
Philippines,15,18,[75][76][77],"On 28 January 2019, the House of Representatives passed a bill proposing to lower the minimum age of criminal responsibility from 15 years to 12 years with a vote of 146-34-0.[78] As of 2020, Some child rights advocates were opposing this and other related bills in favor of a less fragmented approach addressing children's issues.[79]"
Poland,15,17,[80],"Notes 17 is the standard age of criminal liability in Poland. Minors from the age of 15 can be tried as adults in relation to especially heinous crimes such as treason, assassination of Polish President, murder, homicide, serious bodily harm, causing a catastrophe, assault of a public servant, hostage-taking, rape and robbery, when ""the circumstances of the case and the mental state of development of the perpetrator, his characteristics and personal situation warrant it, and especially when previously applied educational, therapeutic or corrective measures have proved ineffective."" On the other hand, the Court may choose to apply juvenile measures for perpetrators above the age of 17 but below the age of 18, if ""the circumstances of the case and the mental state of development of the perpetrator, his characteristics and personal situation warrant it."" Juvenile correctional proceedings liability age is 13. Juvenile educational and therapeutic proceedings liability applies to all persons under the age of 18 (including persons below 13 years of age).[81] The maximum possible sentence that can be imposed on offenders taking criminal liability under 18 years of age is 25 years' imprisonment."
Portugal,16,18/21,[82],
Qatar,7,,[29],
Romania,14,16/18,[31],
Russia,14,16,[83],"Notes 16 by default, 14 years specifically for crimes as listed in Section 20 of the Criminal code, like murder, rape, robbery, extortion, kidnapping, motor vehicle theft, terror attack, stealing restricted substances like explosives or narcotics, aggravated anti-social behaviour, vandalism, false report of a terror attack."
Rwanda,14,,,
San Marino,14,18/21[85],,
São Tomé and Príncipe,16,,,
Saudi Arabia,12,,[29],
Senegal,13,,,
Serbia,14,,,
Sierra Leone,14,,,
Singapore,10,,,The Penal Code Review Committee was proposing to increase the age to 10.
Slovakia,14,,,
Slovenia,14,18/21,[31],
Solomon Islands,8,,,
South Africa,12,14,[87][88],"The age of criminal capacity was raised to 12 by the Child Justice Amendment Act, 2019. There is a rebuttable presumption that a child between the ages of 12 and 14 lacks criminal capacity."
South Korea,14,19,[29],
Spain,14,18/21[91][90],,
Sri Lanka,8,,,
Sudan,12,18,[92],
Swaziland,7,14,[51],
Sweden,15,18/21,[31],
Switzerland,10,18,[31],
Syria,10,,[29],
Taiwan,14,,,Minors between 14 and 17 qualify for reduction of sentence under section 18 of the Criminal Code. The death penalty and imprisonment without term cannot be applied to minor offenders.[93]
Tajikistan,14,16,[94],
Tanzania,7,,[51],
Thailand,7,14,[29],
Timor-Leste,16,,[29],
Turkey,12,,[31],
Turkmenistan,14,16,[29],
Tunisia,13,,,
Uganda,12,,[51],
Ukraine,14,16,[31],
United Arab Emirates,7,,[29],
United Kingdom,11,12,[95][96][97][12][13][14],"10 in England, Wales, and Northern Ireland.  Usually persons aged 10–11 will only be imprisoned in very serious cases, such as murder. Even more so the outcome for youth (12–17) criminal proceedings are usually age categorised (currently it will depend on whether the offender is under 12, under 14, under 16 or under 18, with the older the offender the more severity of punishment, especially for serious crimes). 12 in Scotland. Children under 12 cannot be convicted or get a criminal record; from 12 to 15, decision usually made by the Children's Reporter whether to refer to a children's hearing, which can lead to a criminal record, but could be prosecuted for a criminal offence if the offence is serious."
United States,0,varies by state,[98][99],"At the state level, 33 states have no minimum age of criminal responsibility.[98] For federal crimes, the minimum age of criminal responsibility is 11.[99] Massachusetts has the oldest minimum age of criminal responsibility at 12 years old with no exceptions while North Carolina has the youngest minimum age at 6 years old.[100]"
Uruguay,13,18,[101],
Uzbekistan,13,16,[29],"""Persons can be held criminally responsible for all offences committed after they have reached the age of 16, and for intentional killing from the age of 13, and for other specifically named offences from the age of 14. [Criminal Code, Article 17]"""
Vanuatu,10,,,
Vietnam,14,16,[29],
Yemen,7,,[29],
Zambia,8,12,[51],
Zimbabwe,7,14,[51],
