Rank,Country,Number of published articles (2018),Papers per capita in ppm (2018)
138,Republic of the Congo,67,12.776
138,Gabon,64,30.199
140,Papua New Guinea,64,7.436
141,Tajikistan,62,6.813
142,Niger,55,2.451
143,Bhutan,53,70.256
144,Dominican Republic,49,4.611
145,Grenada,46,412.726
145,El Salvador,45,7.009
145,Honduras,45,4.694
148,Monaco,45,1163.332
149,Nicaragua,44,6.805
150,Sierra Leone,41,5.359
151,Barbados,38,132.570
151,Eswatini,34,29.922
152,Gambia,34,14.912
152,Angola,30,0.974
152,Greenland,30,530.373
155,Liechtenstein,30,791.348
156,Haiti,29,2.607
157,Guinea,28,2.255
158,Saint Kitts and Nevis,26,495.795
159,Liberia,25,5.188
159,Burundi,21,1.995
161,Eritrea,21,6.082
161,Bahamas,20,51.862
161,Central African Republic,20,4.286
164,Mauritania,20,4.542
165,Lesotho,19,9.012
166,Suriname,17,29.514
166,Chad,15,0.969
168,Guinea-Bissau,15,8.003
168,Guyana,14,17.972
170,Timor-Leste,14,11.041
170,Dominica,13,181.501
172,Solomon Islands,13,19.912
172,Samoa,11,56.086
174,San Marino,11,325.588
174,Seychelles,10,102.991
176,Somalia,10,0.666
176,Belize,9,23.494
176,Cape Verde,9,16.551
179,South Sudan,9,0.820
179,Maldives,7,13.574
181,Palau,7,390.909
181,Antigua and Barbuda,6,62.314
181,Djibouti,6,6.257
184,Vanuatu,6,20.5
185,Tonga,5,45.212
185,Andorra,4,51.944
185,Federated States of Micronesia,4,35.511
185,Saint Lucia,4,21.991
189,Turkmenistan,4,0.684
189,Comoros,3,3.604
191,Equatorial Guinea,3,2.292
192,Marshall Islands,2,34.239
192,Kiribati,1,8.632
192,Saint Vincent and the Grenadines,1,9.074
192,São Tomé and Príncipe,1,4.739
196,Tuvalu,1,86.896
197,Nauru,0,0.000
