Country or Entity,Christians,Christian,Catholic,Protestant/ Orthodox/ Other Christian
Thailand,"778,000",1.2,0.6,0.6
Togo,"1,966,000",29,,
Tonga,"84,000",81,16,65
Trinidad and Tobago,"774,000",57.6,21.5,33.4
Tunisia,"50,000[147]",0.1,,0.06
Turkey,"120,000[148]-310,000[149]",0.2,,
Turkmenistan,"466,000",9,,9
Uganda,"29,943,000",88.6,41.9,46.7
Ukraine,"34,830,000[151]",81.9,7.5,74.4
United Arab Emirates,"940,000",9,7,2
United Kingdom,"33,200,000",59.3,8.9,50
United States,"213,000,000[154]",69,20[154]-22.7[155],45[154]-48.5[155]
Uruguay,"1,941,000",58.1,47,11
Uzbekistan,"710,000[24]",2.6,,2.6[24]
Venezuela,"28,340,000",88,71,17
Vietnam,"7,038,000",8.2,7,1
Yemen,"25,000[158]-41,000[159]",0.01,0.01,
Zambia,"12,939,000",95.5,20.2,72.3
Zimbabwe,"12,500,000",87,17,63
